customer_id,segment,rfm_score,transaction_count,recency_days,amount,recency_score,frequency_score,monetary_score
Abbey O'Reilly DVM,Loyal,343,6,205,472,3,4,3
Add Senger,Likely to be Loyal,412,3,140,340,4,1,2
Aden Lesch Sr.,Likely to be Loyal,323,4,194,405,3,2,3
Admiral Senger,Loyal,433,5,132,448,4,3,3
Agness O'Keefe,First Grade,555,9,90,843,5,5,5
Aileen Barton,First Grade,555,9,84,763,5,5,5
Ailene Hermann,Loyal,355,8,281,699,3,5,5
Aiyanna Bruen PhD,Likely to be Loyal,321,4,246,157,3,2,1
Ala Schmidt DDS,Getting Less Frequent,212,3,349,363,2,1,2
Alannah Borer,Do not Show Up at All,121,4,619,196,1,2,1
Alcide Rohan,Loyal,433,5,138,500,4,3,3
Aleena Berge,Likely to be Loyal,523,4,102,393,5,2,3
Alessandra Heaney,Likely to be Loyal,411,1,168,28,4,1,1
Alethea Blanda,Likely to be Loyal,421,4,157,245,4,2,1
Alex Armstrong,Almost Out,144,6,482,634,1,4,4
Alex Bergnaum,Likely to be Loyal,311,1,239,175,3,1,1
Alexis Cormier,First Grade,455,8,150,786,4,5,5
Alf Lueilwitz,Loyal,344,7,202,596,3,4,4
Alferd Ziemann,Loyal,335,5,245,697,3,3,5
Alfred Metz,Loyal,345,7,245,703,3,4,5
Almedia Yundt,Likely to be Loyal,423,4,146,436,4,2,3
Alpheus Wilkinson,Loyal,244,6,405,597,2,4,4
Alphonse Champlin V,Others,342,7,214,367,3,4,2
Alton Wintheiser,Loyal,233,5,475,392,2,3,3
Alvah Bogisich,Loyal,354,8,191,598,3,5,4
Alvera Balistreri,Loyal,434,5,127,539,4,3,4
Alwina Wilkinson DDS,Loyal,345,6,227,712,3,4,5
Alyssia Hickle,Loyal,333,5,209,387,3,3,3
Amina Renner,Loyal,334,5,215,663,3,3,4
Amit Langworth,Getting Less Frequent,211,2,414,253,2,1,1
Anabel Jakubowski PhD,Loyal,443,6,164,443,4,4,3
Anastasia Howe,Require Assistance,223,4,339,425,2,2,3
Anderson Quitzon,Do not Show Up at All,112,3,676,287,1,1,2
Andra Bosco,Likely to be Loyal,421,4,156,225,4,2,1
Andra Goodwin,Likely to be Loyal,521,4,12,202,5,2,1
Angeles McLaughlin PhD,Do not Show Up at All,112,2,937,316,1,1,2
Anie Hettinger,Getting Less Frequent,212,3,444,325,2,1,2
Anjelica Klocko,Almost Out,224,4,458,589,2,2,4
Antonio Bechtelar V,Do not Show Up at All,112,3,666,336,1,1,2
Ariane Hansen,Loyal,244,6,455,507,2,4,4
Ariel Yundt,First Grade,455,10,126,1069,4,5,5
Arlie Brekke IV,Loyal,233,5,327,434,2,3,3
Arlyn Dickinson,First Grade,544,7,39,600,5,4,4
Arnett Waters,Likely to be Loyal,332,5,210,341,3,3,2
Arno Blick,Likely to be Loyal,523,4,46,388,5,2,3
Art Hyatt III,Loyal,345,6,274,803,3,4,5
Aryan Bahringer,Others,324,4,286,527,3,2,4
Asha Ankunding,Getting Less Frequent,211,3,399,81,2,1,1
Ashleigh Eichmann,Others,425,4,162,681,4,2,5
Aubrey Witting,Likely to be Loyal,521,4,53,229,5,2,1
Aurthur Kirlin II,First Grade,455,9,116,856,4,5,5
Auther Haley,First Grade,555,9,57,878,5,5,5
Avah Schneider,First Grade,445,7,122,777,4,4,5
Avery Bartoletti,Likely to be Loyal,322,4,183,370,3,2,2
Ayesha Carroll,Loyal,533,5,35,390,5,3,3
Azariah Lubowitz,Loyal,433,5,179,425,4,3,3
Azul Wehner,Do not Show Up at All,111,1,932,190,1,1,1
Barrett Turcotte DVM,Likely to be Loyal,322,4,186,319,3,2,2
